id,dailyacres,discoveryacres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index,sum_rain,sum_snow,land_cover_class
141,4.04,2.0,21.23,30.78,5.07,0.0,1.08,1.91,3.19,4.69,0.21,0.34,0.9133333333333334,1.4733333333333334,2.3466666666666667,3.4333333333333336,5.23,22.46666666666667,0.0,0.32,10.78,28.56,154.34,151.74,2.8,58.010000000000005,1.98,557
143,3226.0,1.0,25.49,33.83,6.77,0.83,2.84,4.72,4.95,7.8,0.28,0.37,1.6445,2.9481666666666664,2.904166666666667,4.767333333333334,5.755333333333334,21.31983333333333,45.28,4.05,14.77,29.19,161.59,136.28,2.8,110.73,1.98,187
145,271.0,3.0,20.66,30.66,4.64,0.0,2.04,2.89,3.25,3.91,0.39,0.42,2.67,4.565,4.075,6.2275,4.4875,19.7525,0.0,-0.08,10.3,29.62,168.75,167.23,3.17,94.92,1.32,557
154,3142.33,20.0,27.04,35.8,5.49,0.0,2.71,4.84,3.92,6.42,0.27,0.38,2.402857142857143,4.645714285714285,3.45,6.081428571428572,6.73,24.472857142857144,4.09,2.24,14.64,22.81,155.45,137.44,2.49,52.73,0.66,489
155,98.0,1.0,19.51,28.76,2.99,0.0,2.14,4.28,3.28,6.21,0.34,0.4,2.737142857142857,4.905714285714285,4.025714285714286,6.704285714285715,3.4957142857142856,22.764285714285712,0.0,-4.97,7.27,22.0,159.97,160.35,2.54,31.64,0.0,460
157,927.0,1.0,25.58,33.85,8.73,2.1,2.85,4.69,4.09,6.36,0.34,0.38,2.6580000000000004,4.672666666666667,3.896666666666667,6.235333333333333,6.266,20.807333333333336,6.090000000000001,8.75,17.16,38.88,126.9,107.83,1.9,126.55,1.98,491
166,480.0,1.0,35.68,44.37,10.25,1.32,2.08,3.66,2.91,5.05,0.2,0.38,2.1733333333333333,4.031111111111112,3.056666666666666,5.492222222222222,10.884444444444446,33.925555555555555,10.31,12.94,24.3,29.94,141.33,140.25,2.64,31.64,0.0,474
178,20.0,0.1,0.42,5.76,2.32,0.0,1.26,2.44,1.73,3.16,0.41,0.41,1.5,2.8875,2.2925,3.7525,2.4575,-0.215,0.53,-8.48,-4.02,51.75,57.01,55.22,0.44,94.92,1.32,187
180,1.5,0.1,17.63,27.24,4.39,0.0,3.07,5.47,5.05,8.15,0.39,0.46,2.2966666666666664,3.94,3.753333333333333,5.713333333333334,4.07,17.796666666666667,0.0,-0.89,8.37,33.31,154.01,152.48,2.7,52.73,0.0,187
185,8.0,8.0,31.89,38.31,8.79,0.15,3.12,5.88,4.51,8.19,0.2,0.47,2.5466666666666664,5.123333333333334,3.6633333333333336,6.93,8.523333333333333,31.26,0.39,9.92,20.9,26.81,157.79,123.2,2.53,42.18,0.0,460
