id,x,y,containmentdatetime,controldatetime,dailyacres,discoveryacres,firecause,firediscoverydatetime,incidenttypecategory,incidenttypekind,initiallatitude,initiallongitude,irwinid,localincidentidentifier,poocounty,poodispatchcenterid,poofips,poostate,uniquefireidentifier,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index
35,-120.761513279,40.2785252780001,2020-09-08 00:59:59+00:00,2020-10-09 18:59:59+00:00,29570.0,0.1,Natural,2020-08-17 19:20:00+00:00,WF,FI,40.27852,-120.7615,{FB31F965-B88D-4C84-8B88-3241F38187CC},1299,Plumas,CAPNFC,6063,US-CA,2020-CAPNF-001299,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,1.1353703703703704,1.9735185185185184,2.3822222222222225,3.968518518518519,4.2188888888888885,19.358148148148146,1.6,9.12,17.03,38.5,130.72,89.22,1.73
37,-112.045911089,34.42344525,2020-09-16 02:29:59+00:00,2020-09-18 17:29:59+00:00,3.9,0.1,Human,2020-09-15 23:51:00+00:00,WF,FI,34.40211,-112.0709,{3BBA14A4-88AC-4A22-8372-0A1958382AD9},1970,Yavapai,AZPDC,4025,US-AZ,2020-AZPNF-001970,25.3,34.89,5.31,0.0,0.92,1.46,1.78,3.32,0.24,0.47,1.685,2.77,2.855,4.0825,4.3025,25.9025,0.0,2.1,13.7,25.31,123.98,113.89,1.91
44,-119.670720163,38.716957515,2020-05-31 13:05:00+00:00,2020-06-02 00:10:00+00:00,21.0,5.0,Natural,2020-05-30 22:27:00+00:00,WF,FI,38.72575,-119.6654,{6646844C-32CC-4474-915C-373A96534E0F},30210,Alpine,NVSFC,6003,US-CA,2020-NVHTF-030210,11.28,16.9,5.43,0.04,3.24,5.53,5.01,8.11,0.38,0.41,1.87,3.4475,2.9124999999999996,5.0675,5.845,12.555,0.1,0.86,6.07,54.19,160.67,137.03,2.67
53,-110.489410697,33.358105186,2020-06-05 18:03:00+00:00,2020-06-08 01:15:00+00:00,3.0,0.1,Human,2020-06-05 10:02:00+00:00,WF,FI,33.35889,-110.4895,{33F0F469-0E69-4DED-AD81-D919036D0667},1392,Gila,AZPHC,4007,US-AZ,2020-AZSCA-001392,27.86,34.81,6.96,0.12,2.28,6.1,3.41,8.55,0.27,0.48,3.135,6.08,4.6325,8.345,5.34,23.165,0.12,6.17,17.01,26.38,158.98,88.11,1.8
54,-121.259080289,39.778455197,2020-08-20 02:00:00+00:00,2020-09-03 22:57:00+00:00,6.0,1.0,Natural,2020-08-17 22:15:38+00:00,WF,FI,39.77752,-121.249,{D13229A3-CE84-4BE3-9F9D-517BAC96FF64},1311,Plumas,CAPNFC,6063,US-CA,2020-CAPNF-001311,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,0.3222222222222222,0.9183333333333334,1.9577777777777778,3.2244444444444444,5.374444444444444,23.32111111111111,1.04,8.87,17.57,36.0,131.32,86.97,1.65
60,-110.385411504,41.3346962200001,2020-10-30 00:59:59+00:00,2020-10-30 22:30:00+00:00,28.0,10.0,Human,2020-10-29 21:36:00+00:00,WF,FI,41.33276,-110.3854,{E88DC803-D728-4277-ACD1-BF5073369767},200806,Uinta,WYCPC,56041,US-WY,2020-WYKRD-200806,3.37,12.15,3.3,0.0,2.53,4.92,3.97,6.35,0.34,0.38,2.91,5.484999999999999,4.365,7.165,2.995,4.655,0.0,-4.89,-0.76,57.06,72.03,70.94,0.7
62,-120.919913227,39.7161152190001,2020-08-17 17:00:00+00:00,2020-11-13 02:00:00+00:00,39.0,0.1,Human,2020-08-13 23:57:00+00:00,WF,FI,39.70786,-120.8884,{725CB3C8-884B-4891-B4B7-10E50A7D488B},1217,Sierra,CAPNFC,6091,US-CA,2020-CAPNF-001217,21.83,30.69,3.78,0.0,0.36,1.14,2.38,4.04,0.19,0.46,0.29774193548387096,0.8303225806451613,2.197741935483871,3.540967741935484,3.7518279569892474,16.508172043010752,29.19,-2.36,9.74,22.31,144.12,142.84,2.38
71,-113.050311208,33.451795066,2020-04-29 02:29:59+00:00,2020-04-29 19:24:00+00:00,4.0,0.1,Human,2020-04-28 16:28:00+00:00,WF,FI,33.43251,-113.041,{47652E43-4ECE-4771-82BC-FA3B11434EFD},323,Maricopa,AZPDC,4013,US-AZ,2020-AZPHD-000323,28.19,37.87,5.86,0.0,1.74,2.39,2.85,4.16,0.35,0.41,1.9049999999999998,2.835,3.0549999999999997,4.234999999999999,5.86,28.795,0.0,5.22,16.7,27.56,148.5,149.15,2.28
75,-110.471910694,33.3643051880001,2020-05-15 17:36:59+00:00,2020-05-20 00:30:00+00:00,157.9,0.1,Human,2020-05-12 14:19:59+00:00,WF,FI,33.36138,-110.426,{AFB84DE3-4FF3-4221-9181-991DCCB9E100},797,Gila,AZPHC,4007,US-AZ,2020-AZSCA-000797,20.61,28.87,5.37,0.0,2.54,5.01,3.9,6.78,0.46,0.51,2.342222222222222,4.785555555555556,3.4255555555555555,6.427777777777778,4.984444444444445,21.191111111111113,0.0,2.69,11.65,34.81,156.82,157.67,2.66
85,-112.296911773,40.4290459690001,2020-10-25 00:30:00+00:00,2020-10-28 20:29:59+00:00,32.7,1.0,Human,2020-10-24 18:14:00+00:00,WF,FI,40.4414,-112.3743,{B5DA140B-C553-45B1-B93A-CFAD2127F197},1100,Tooele,UTNUC,49045,US-UT,2020-UTNWS-001100,8.5,17.73,3.72,0.44,3.41,5.21,4.9,6.8,0.27,0.42,2.864,4.746,3.87,6.114,2.428,1.56,3.04,-3.42,2.54,45.5,74.88,58.33,0.73
87,-111.78131189,42.0091761830001,2020-08-01 03:49:59+00:00,2020-08-02 00:00:00+00:00,381.3,100.0,Human,2020-07-31 22:21:59+00:00,WF,FI,42.01575,-111.7479,{ADDDA9C1-D441-43A6-B769-12B2172CFD14},110,Franklin,IDEIC,16041,US-ID,2020-ID1FN-000110,25.12,34.62,7.63,0.0,1.72,3.06,3.0,4.62,0.58,0.62,1.4799999999999998,2.5766666666666667,2.643333333333333,3.9133333333333336,8.056666666666667,25.316666666666666,0.0,6.83,15.98,37.12,150.1,149.43,2.59
90,-116.419112592,40.662905666,2020-08-14 17:00:59+00:00,2020-08-15 01:25:00+00:00,54.86,15.0,Human,2020-08-13 23:22:00+00:00,WF,FI,40.662,-116.4147,{8D6A6A17-D0BC-4713-9739-BD96CC7694D2},10217,Eureka,NVEIC,32011,US-NV,2020-NVEURX-010217,22.98,31.4,2.14,0.0,2.67,5.01,3.85,6.48,0.1,0.33,2.0500000000000003,4.1033333333333335,2.9033333333333338,5.423333333333333,4.233333333333333,25.290000000000003,1.58,-9.59,6.69,11.0,145.34,144.47,2.35
93,-113.694211678,37.328105513,2020-10-01 18:59:59+00:00,2020-10-09 20:29:59+00:00,2263.0,1.0,Human,2020-09-27 23:13:59+00:00,WF,FI,37.39961,-113.6406,{6DF7C2F4-2246-4F81-BF7C-C5431EF0B6C0},870,Washington,UTCDC,49053,US-UT,2020-UTSWS-000870,16.17,22.46,4.46,0.0,6.7,8.54,9.42,11.87,0.15,0.34,2.6315384615384616,4.611538461538461,3.9600000000000004,6.293846153846153,2.5746153846153845,18.85153846153846,0.0,-1.27,7.45,34.31,110.59,110.52,1.61
101,-109.910980429,40.5324506630001,2020-08-07 21:30:00+00:00,2020-08-09 21:30:00+00:00,8.99,9.0,Human,2020-08-07 18:36:59+00:00,WF,FI,40.53297,-109.9111,{8297CD85-60FE-4E0C-83E2-A67D577BBB6F},100295,Uintah,UTUBC,49047,US-UT,2020-UTUOA-100295,20.54,29.05,2.5,0.0,1.19,2.13,3.17,5.28,0.15,0.34,1.0999999999999999,1.9266666666666665,2.9766666666666666,4.670000000000001,2.7433333333333336,20.81,0.16,-8.63,5.96,14.75,150.75,150.15,2.62
115,-111.908511073,34.5561652750001,2020-08-16 18:00:00+00:00,2020-08-17 16:44:59+00:00,1.7,1.0,Unknown,2020-08-16 16:12:59+00:00,WF,FI,34.55165,-111.9048,{6E6D33F5-A396-456D-BC21-8A7400300074},1626,Yavapai,AZPDC,4025,US-AZ,2020-AZPNF-001626,32.57,42.08,6.04,0.06,0.95,1.82,1.63,2.88,0.2,0.48,1.415,2.375,2.255,3.335,7.6899999999999995,32.005,0.8,4.39,18.48,18.81,146.41,133.37,2.74
120,-106.838210121,35.763345735,2020-06-20 16:54:59+00:00,2020-07-06 18:49:59+00:00,24.75,24.8,Natural,2020-06-15 18:35:00+00:00,WF,FI,35.76334,-106.8382,{29D7F7DD-2877-4CE2-9E9A-870BE7CCD269},300,Sandoval,NMSFC,35043,US-NM,2020-NMSNF-000300,21.51,29.9,5.55,0.09,1.84,4.59,3.0,7.7,0.25,0.34,1.9645454545454546,3.5318181818181817,3.409090909090909,5.639545454545455,5.024545454545454,21.50227272727273,2.35,1.12,11.32,30.25,164.73,147.95,3.03
128,-112.683611106,33.0265150280001,2020-07-12 19:30:00+00:00,2020-07-12 19:30:00+00:00,27.0,5.0,Human,2020-07-06 21:46:59+00:00,WF,FI,33.04284,-112.6639,{715623A6-3F08-4EE0-A26C-851733B215BC},1222,Maricopa,AZPDC,4013,US-AZ,2020-AZA4S-001222,35.4,44.71,4.7,0.0,3.21,4.95,4.44,6.2,0.07,0.37,3.242857142857143,5.24,4.414285714285715,6.7871428571428565,7.42,35.84285714285714,0.02,2.22,18.81,14.56,163.28,163.93,3.06
132,-121.777313608,41.4274952810001,2020-05-11 23:29:59+00:00,2020-05-12 21:59:59+00:00,10.5,0.1,Human,2020-05-11 20:12:00+00:00,WF,FI,41.42749,-121.7773,{FE860B69-5999-408E-A3AC-4D48908C0C5A},545,Siskiyou,CARICC,6093,US-CA,2020-CASHF-000545,8.8,13.65,4.88,3.73,1.11,1.78,4.57,6.66,0.56,0.57,1.0350000000000001,1.6400000000000001,4.220000000000001,6.195,5.1850000000000005,7.640000000000001,12.16,0.19,4.5,59.5,147.81,90.99,1.43
134,-112.581612143,42.602446178,2020-08-20 17:00:00+00:00,2020-08-23 18:00:00+00:00,103.2,40.0,Human,2020-08-20 01:14:00+00:00,WF,FI,42.62494,-112.5874,{1FCE6CAB-2F29-4889-9A96-0A67281B1748},164,Power,IDEIC,16077,US-ID,2020-IDFHA-000164,23.83,31.65,8.42,0.01,2.17,4.29,3.46,5.76,0.45,0.5,1.2925,2.58,2.0025,3.37,7.0325,24.09,0.01,8.19,16.01,41.69,117.19,98.63,1.58
138,-110.416610678,33.3002751820001,2020-07-07 02:15:00+00:00,2020-07-08 23:00:00+00:00,1.4,0.1,Human,2020-07-07 01:31:00+00:00,WF,FI,33.3042,-110.4256,{0AA616F6-847B-4039-BD82-BE636BB563C3},1914,Graham,AZPHC,4009,US-AZ,2020-AZSCA-001914,31.39,38.8,4.33,0.0,2.44,4.7,3.45,6.17,0.15,0.46,2.4050000000000002,4.715,3.465,6.2,5.705,31.185000000000002,0.0,-0.26,15.57,14.12,163.41,164.33,3.2
141,-109.957411304,40.526226159,2020-07-31 00:35:00+00:00,2020-07-31 21:49:59+00:00,4.04,2.0,Natural,2020-07-29 20:07:59+00:00,WF,FI,40.526278,-109.957611,{B9164EEC-ED64-4271-BBFD-9978CF701AA1},100270,Uintah,UTUBC,49047,US-UT,2020-UTUOA-100270,21.23,30.78,5.07,0.0,1.08,1.91,3.19,4.69,0.21,0.34,0.9133333333333334,1.4733333333333334,2.3466666666666667,3.4333333333333336,5.23,22.46666666666667,0.0,0.32,10.78,28.56,154.34,151.74,2.8
143,-108.418610879,39.762136179,2020-07-23 13:30:00+00:00,2020-09-10 14:00:00+00:00,3226.0,1.0,Natural,2020-07-13 18:00:00+00:00,WF,FI,39.80434,-108.3616,{82DB77F9-0F86-4887-B759-7AA8A6BA4B22},166,Rio Blanco,COCRC,8103,US-CO,2020-COWRD-000166,25.49,33.83,6.77,0.83,2.84,4.72,4.95,7.8,0.28,0.37,1.6445,2.9481666666666664,2.904166666666667,4.767333333333334,5.755333333333334,21.319833333333335,45.28,4.05,14.77,29.19,161.59,136.28,2.8
145,-112.52641163,38.925975781,2020-06-12 03:59:59+00:00,2020-06-14 18:00:00+00:00,271.0,3.0,Human,2020-06-11 22:21:59+00:00,WF,FI,39.87604,-111.8251,{91CE9DC7-5EA6-4B2B-BE54-AD21703616A1},200157,Millard,UTRFC,49027,US-UT,2020-UTRID-200157,20.66,30.66,4.64,0.0,2.04,2.89,3.25,3.91,0.39,0.42,2.67,4.565,4.075,6.2275,4.4875,19.7525,0.0,-0.08,10.3,29.62,168.75,167.23,3.17
154,-114.361112248,40.944555861,2020-07-22 00:00:00+00:00,2020-07-23 20:15:00+00:00,3142.33,20.0,Human,2020-07-17 22:25:59+00:00,WF,FI,40.94455,-114.36105,{1146CAB3-3DAF-484D-ADDC-3D891CC7237D},10139,Elko,NVEIC,32007,US-NV,2020-NVECFX-010139,27.04,35.8,5.49,0.0,2.71,4.84,3.92,6.42,0.27,0.38,2.402857142857143,4.645714285714285,3.4499999999999997,6.081428571428572,6.7299999999999995,24.472857142857144,4.09,2.24,14.64,22.81,155.45,137.44,2.49
155,-113.165911318,34.572945207,2020-05-27 17:29:59+00:00,2020-05-27 17:29:59+00:00,98.0,1.0,Human,2020-05-21 21:59:59+00:00,WF,FI,34.55574,-113.1575,{DD442574-0A7A-4D14-98EB-D079D7DFF482},524,Yavapai,AZPDC,4025,US-AZ,2020-AZA5S-000524,19.51,28.76,2.99,0.0,2.14,4.28,3.28,6.21,0.34,0.4,2.737142857142857,4.905714285714285,4.025714285714286,6.704285714285715,3.4957142857142856,22.764285714285712,0.0,-4.97,7.27,22.0,159.97,160.35,2.54
157,-114.913612494,41.909065911,2020-08-26 00:43:59+00:00,2020-09-02 15:00:00+00:00,927.0,1.0,Natural,2020-08-19 18:17:00+00:00,WF,FI,41.906833,-114.9125,{87C72E07-11C4-40A0-81AC-1781F3549FBE},10235,Elko,NVEIC,32007,US-NV,2020-NVEKD-010235,25.58,33.85,8.73,2.1,2.85,4.69,4.09,6.36,0.34,0.38,2.6580000000000004,4.672666666666667,3.896666666666667,6.235333333333333,6.266,20.807333333333336,6.090000000000001,8.75,17.16,38.88,126.9,107.83,1.9
166,-111.080010757,32.5268050380001,2020-08-23 23:00:00+00:00,2020-08-25 00:59:59+00:00,480.0,1.0,Natural,2020-08-17 22:18:00+00:00,WF,FI,32.4999,-111.0868,{C8951F16-C6CC-4472-A3BD-BBBE2527244D},1757,Pinal,AZTDC,4021,US-AZ,2020-AZA3S-001757,35.68,44.37,10.25,1.32,2.08,3.66,2.91,5.05,0.2,0.38,2.1733333333333333,4.0311111111111115,3.0566666666666666,5.492222222222222,10.884444444444446,33.925555555555555,10.309999999999999,12.94,24.3,29.94,141.33,140.25,2.64
178,-111.750711664,40.4359560120001,2020-11-22 22:43:00+00:00,2020-11-24 17:29:59+00:00,20.0,0.1,Human,2020-11-21 19:47:00+00:00,WF,FI,40.44167,-111.7526,{C3DBE2C8-CCFC-40DE-B8E5-FD4729CD67BE},1158,Utah,UTNUC,49049,US-UT,2020-UTUWF-001158,0.42,5.76,2.32,0.0,1.26,2.44,1.73,3.16,0.41,0.41,1.5,2.8875,2.2925,3.7525,2.4575,-0.21500000000000002,0.53,-8.48,-4.02,51.75,57.01,55.22,0.44
180,-110.222810717,34.335605339,2020-05-04 02:45:59+00:00,2020-05-05 21:52:00+00:00,1.5,0.1,Human,2020-05-03 23:06:59+00:00,WF,FI,34.3292,-110.2178,{7E5161E7-4F9A-45C1-B8D6-EEBE60C11F12},132,Navajo,AZFDC,4017,US-AZ,2020-AZASF-000132,17.63,27.24,4.39,0.0,3.07,5.47,5.05,8.15,0.39,0.46,2.2966666666666664,3.94,3.7533333333333334,5.713333333333334,4.07,17.796666666666667,0.0,-0.89,8.37,33.31,154.01,152.48,2.7
185,-110.638110727,33.3576051790001,2020-07-15 01:09:59+00:00,2020-07-15 17:06:00+00:00,8.0,8.0,Human,2020-07-13 21:46:00+00:00,WF,FI,33.35329,-110.6601,{00CC42F6-D6C8-4E0D-9284-2E8B83CABADE},2047,Gila,AZPHC,4007,US-AZ,2020-AZSCA-002047,31.89,38.31,8.79,0.15,3.12,5.88,4.51,8.19,0.2,0.47,2.5466666666666664,5.123333333333334,3.6633333333333336,6.93,8.523333333333333,31.26,0.39,9.92,20.9,26.81,157.79,123.2,2.53
186,-108.168210506,36.8182158050001,2020-05-25 03:10:00+00:00,2020-05-29 20:19:59+00:00,2.0,2.0,Human,2020-05-24 22:28:59+00:00,WF,FI,36.81821,-108.1682,{48A0B7C1-40F4-4807-BDFC-990BE9A8AEAC},151,San Juan,NMTDC,35045,US-NM,2020-NMFAD-000151,13.52,20.64,2.93,0.0,3.57,5.55,5.17,7.56,0.32,0.41,2.7983333333333333,5.1433333333333335,4.145,7.166666666666667,5.066666666666666,18.173333333333336,0.64,-6.33,3.59,26.5,165.61,165.4,2.72
192,-119.904328609,39.605739865,2020-06-24 18:48:00+00:00,2020-06-25 00:56:00+00:00,22.0,0.1,Natural,2020-06-24 00:55:00+00:00,WF,FI,39.63751,-119.9478,{C25DD919-3272-4D61-A995-E20825F3A809},30330,Washoe,NVSFC,32031,US-NV,2020-NVHTF-030330,24.44,33.65,7.26,0.02,1.37,4.14,2.34,6.86,0.38,0.41,1.455,3.54,2.455,5.715,7.6899999999999995,23.765,0.59,6.2,15.32,34.81,160.83,142.2,2.62
195,-120.507286798,42.5531436220001,2020-08-23 23:15:00+00:00,2020-08-23 23:19:59+00:00,3.7,1.0,Human,2020-08-17 06:53:59+00:00,WF,FI,42.55349,-120.5062,{F5004C2D-25F6-426A-A90D-AB05C472DB7D},200349,Lake,ORLFC,41037,US-OR,2020-OR982S-200349,21.48,31.69,8.85,0.32,1.04,2.08,2.58,5.2,0.39,0.45,1.1128571428571428,1.977142857142857,2.5185714285714282,4.371428571428572,7.602857142857142,20.40285714285714,0.41000000000000003,9.35,15.41,50.12,128.86,65.23,1.18
196,-110.45201069,33.362355189,2020-10-08 23:15:00+00:00,2020-10-20 16:09:59+00:00,2.0,0.1,Human,2020-10-08 16:46:00+00:00,WF,FI,33.36241,-110.452,{A21088F4-13CD-498D-90CB-8CB351184C64},2952,Gila,AZPHC,4007,US-AZ,2020-AZSCA-002952,25.08,33.39,2.87,0.0,1.88,4.55,2.77,6.11,0.13,0.46,1.9092307692307693,3.939230769230769,2.9546153846153844,5.316923076923077,3.0515384615384615,22.665384615384614,0.0,-5.7,9.69,12.75,104.58,102.2,1.51
202,-121.33311287,36.1035548740001,2020-11-15 23:00:00+00:00,2020-12-31 22:15:00+00:00,574.0,1.0,Unknown,2020-10-18 19:24:00+00:00,WF,FI,36.07114,-121.4505,{DB0B9472-74B9-4D89-8E78-A792C26FE4F2},3161,Monterey,CALPCC,6053,US-CA,2020-CALPF-003161,20.82,28.93,6.84,0.01,1.05,1.95,1.7,2.84,0.11,0.46,1.8398666666666668,2.780133333333333,2.9117333333333333,4.1892,5.390933333333333,12.749333333333334,47.11,7.25,14.04,46.31,86.99,83.77,1.02
203,-112.261911382,37.1525555870001,2020-07-24 01:30:00+00:00,2020-07-25 00:59:59+00:00,50.0,0.1,Natural,2020-07-23 04:11:00+00:00,WF,FI,37.2325,-112.2101,{9A1AC6E1-B6E8-4668-A7B6-F3DF6088555A},502,Kane,UTCDC,49025,US-UT,2020-UTCCD-000502,22.91,29.39,10.01,4.45,2.32,3.75,3.42,5.09,0.27,0.35,1.7433333333333334,2.813333333333333,2.6033333333333335,3.9299999999999997,9.826666666666666,22.736666666666668,5.84,10.79,16.85,50.5,155.7,106.16,2.02
207,-113.22051124,33.4486750570001,2020-07-14 23:29:59+00:00,2020-07-14 23:29:59+00:00,2800.0,10.0,Human,2020-07-11 21:35:00+00:00,WF,FI,33.44867,-113.2205,{2F84C634-28EA-4E7A-B521-FAAEFB6D8EE9},1300,Maricopa,AZPDC,4013,US-AZ,2020-AZA4S-001300,34.91,42.47,6.9,0.0,4.03,8.95,5.55,11.73,0.07,0.37,3.2275,5.67,4.435,7.365,6.73,36.302499999999995,0.02,7.76,21.33,20.12,157.12,146.59,2.81
211,-109.383111064,39.581546087,2020-06-07 03:01:59+00:00,2020-06-08 13:44:59+00:00,93.0,3.0,Natural,2020-06-05 13:56:00+00:00,WF,FI,39.580196,-109.38893,{A84D8C6D-B1B0-4866-B433-1AC62057541F},100116,Uintah,UTUBC,49047,US-UT,2020-UTVLD-100116,24.0,34.1,6.35,5.2,4.59,8.27,6.45,11.88,0.24,0.42,4.44,8.435,6.2875,11.88,5.9375,15.995,24.939999999999998,3.28,13.64,31.44,165.14,147.36,2.8
215,-111.51491093,33.731695185,2020-05-24 05:26:00+00:00,2020-05-29 16:28:00+00:00,2.4,0.1,Human,2020-05-24 01:44:59+00:00,WF,FI,33.73027,-111.5164,{CA457EC4-76E7-4133-ABE1-450A62E2F0F3},1097,Maricopa,AZPHC,4013,US-AZ,2020-AZTNF-001097,22.48,30.25,3.72,0.0,2.02,4.13,2.88,5.27,0.3,0.45,2.11,4.0616666666666665,3.0583333333333336,5.456666666666667,4.006666666666667,27.19,0.02,-1.87,10.3,22.0,160.18,160.16,2.47
