X,Y,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,IrwinID,LocalIncidentIdentifier,POOCounty,POODispatchCenterID,POOFips,POOState,UniqueFireIdentifier,total_acres,fire_id
-119.757405628,42.108646305,2020-08-11 01:08:00+00:00,2020-08-12 00:11:59+00:00,11.0,0.1,Human,2020-08-10 17:51:59+00:00,WF,FI,42.11406,-119.7605,{7FAB0328-0723-44F4-8ED3-F6B9F65381B6},200316,Lake,ORLFC,41037,US-OR,2020-ORLAD-200316,11.1,4420
-111.757911697,40.6728160380001,2020-10-13 20:00:00+00:00,2020-11-16 16:12:59+00:00,60.0,0.1,Natural,2020-09-22 06:27:08+00:00,WF,FI,40.67754,-111.7749,{6CE67002-5A47-4B78-938A-EB9E4E6254D8},000982,Salt Lake,UTNUC,49035,US-UT,2020-UTUWF-000982,60.1,4427
-113.776911544,35.8207853270001,2020-08-05 21:00:00+00:00,2020-08-17 18:03:00+00:00,600.0,40.0,Natural,2020-07-24 23:02:00+00:00,WF,FI,35.82078,-113.7769,{79458164-2C7C-43F3-A08B-35F29E61847D},000615,Mohave,AZWDC,04015,US-AZ,2020-AZTCA-000615,640.0,4434
-112.221911536,38.6353757680001,2020-07-03 02:29:59+00:00,2020-07-03 02:29:59+00:00,1.5,0.1,Human,2020-07-02 01:08:00+00:00,WF,FI,38.61414,-112.23,{19DFC8B5-3DBF-4001-8EB7-EDEE8467F164},200257,Sevier,UTRFC,49041,US-UT,2020-UTSCS-200257,1.6,4437
-112.140811719,40.2544659610001,2020-07-03 04:44:59+00:00,2020-07-07 21:14:59+00:00,4.0,0.1,Human,2020-07-03 00:46:00+00:00,WF,FI,40.27994,-112.148,{060F1463-C9BB-46CB-A0C7-D541278195A8},000406,Utah,UTNUC,49049,US-UT,2020-UTSLD-000406,4.1,4441
-111.866911093,34.8935253230001,2020-07-08 05:10:00+00:00,2020-07-09 19:30:00+00:00,4.0,4.0,Human,2020-07-08 01:28:59+00:00,WF,FI,34.87402,-111.8524,{71AFD946-2F96-4F33-8E47-E91ADEBC54B9},001034,Yavapai,AZFDC,04025,US-AZ,2020-AZCOF-001034,8.0,4445
-116.476012169,37.120325301,2020-08-08 03:00:00+00:00,2020-08-15 23:00:00+00:00,4840.0,300.0,Natural,2020-07-27 22:54:00+00:00,WF,FI,37.09068,-116.4521,{08BCEF87-391E-4AC7-941D-EF63D9D3A6C3},500971,Nye,NVLIC,32023,US-NV,2020-NVSND-500971,5140.0,4455
-110.720310806,34.1802652900001,2020-08-28 23:00:00+00:00,2020-09-01 17:10:00+00:00,1.1,0.1,Natural,2020-08-26 22:30:00+00:00,WF,FI,34.17629,-110.6936,{70FDD9A2-1307-4308-9DE8-A0897FF85732},000886,Navajo,AZSDC,04017,US-AZ,2020-AZFTA-000886,1.2000000000000002,4463
-110.996010798,33.3445851590001,2020-06-03 00:11:59+00:00,2020-06-04 00:00:00+00:00,1.5,2.0,Human,2020-06-02 19:56:00+00:00,WF,FI,33.34563,-110.9965,{97E30026-5A69-4402-804F-842A80A66CD5},000707,Pinal,AZPHC,04021,US-AZ,2020-AZA4S-000707,3.5,4466
-107.068210771,41.256356468,2020-07-02 18:03:00+00:00,2020-07-05 01:50:00+00:00,15.0,15.0,Human,2020-06-29 20:42:59+00:00,WF,FI,41.282783,-107.120583,{E48F7395-CA8A-4D47-ACC9-B8DE89F8A7C6},200218,Carbon,WYCPC,56007,US-WY,2020-WYMRF-200218,30.0,4470
-110.977910883,34.49781532,2020-08-21 19:44:00+00:00,2020-08-24 17:06:59+00:00,1.5,0.1,Natural,2020-08-19 23:49:56+00:00,WF,FI,34.55721,-110.9197,{BCF35060-06B4-406E-9622-BBCE2F5ECC4A},000833,Coconino,AZSDC,04005,US-AZ,2020-AZASF-000833,1.6,4477
-112.400111635,39.174955819,2020-06-14 03:00:00+00:00,2020-06-15 16:12:59+00:00,20.0,5.0,Human,2020-06-14 00:10:00+00:00,WF,FI,39.21561,-112.4069,{D432167B-AC0F-41A5-BBD5-4C0623CE9F13},200166,Millard,UTRFC,49027,US-UT,2020-UTSCS-200166,25.0,4478
-106.746310015,34.7423055880001,2020-06-25 00:00:00+00:00,2020-06-26 21:00:00+00:00,5.0,0.1,Unknown,2020-06-23 04:02:00+00:00,WF,FI,36.74248,-106.7329,{30A3CB7E-8BC4-4290-B43A-48BCBDC082C1},000252,Valencia,NMSFC,35061,US-NM,2020-NMN6S-000252,5.1,4489
-111.880511139,35.392365387,2020-11-03 21:59:59+00:00,2020-11-05 20:10:00+00:00,2.0,2.0,Natural,2020-11-03 15:27:29+00:00,WF,FI,35.38795,-111.8814,{B206AE63-67FF-489E-AB75-6905AB50B0FF},001159,Coconino,AZWDC,04005,US-AZ,2020-AZKNF-001159,4.0,4493
-119.201212777,38.360275232,2020-06-17 00:59:59+00:00,2020-06-18 00:04:00+00:00,13.26,1.0,Unknown,2020-06-16 02:10:59+00:00,WF,FI,38.36093,-119.2001,{145D3D44-4910-4716-95C0-9029F541610E},030282,Mono,NVSFC,06051,US-CA,2020-NVHTF-030282,14.26,4495
-117.948912286,35.7380050560001,2021-03-20 00:25:00+00:00,2021-03-21 23:10:00+00:00,86.0,1.0,Human,2021-03-14 02:53:00+00:00,WF,FI,35.71001,-117.8398,{76E76EF2-A010-4AC9-8BD8-6A96987876F5},004735,Kern,CACCCC,06029,US-CA,2021-CACDD-004735,87.0,4497
-114.662228781,39.510005687,2020-09-22 23:29:59+00:00,2020-09-25 23:29:59+00:00,151.0,151.0,Natural,2020-09-19 06:40:59+00:00,WF,FI,39.51,-114.662217,{7844452C-FB25-4CFE-A61D-088897AA0266},040189,White Pine,NVECC,32033,US-NV,2020-NVHTF-040189,302.0,4508
-112.567911689,39.3440058260001,2020-07-26 01:20:00+00:00,2020-08-07 18:00:00+00:00,2.0,0.1,Human,2020-07-26 00:35:00+00:00,WF,FI,39.35214,-112.5763,{75E421ED-7232-4853-BA3F-0EA831F84969},200382,Millard,UTRFC,49027,US-UT,2020-UTSCS-200382,2.1,4514
-105.452509836,36.0241758540001,2020-07-21 19:30:00+00:00,2020-07-24 21:30:00+00:00,2.0,2.0,Natural,2020-07-20 20:29:59+00:00,WF,FI,36.02417,-105.4525,{3D7ED99C-089E-41D6-96BA-BDE5C48AA8F8},000456,Mora,NMSFC,35033,US-NM,2020-NMSNF-000456,4.0,4518
-110.424710695,33.514785212,2020-08-04 00:59:59+00:00,2020-08-04 00:59:59+00:00,6870.0,0.1,Natural,2020-08-01 23:38:00+00:00,WF,FI,33.5195,-110.420167,{CECB3EE3-878C-4E73-9DAD-D82F37A03808},002341,Gila,AZPHC,04007,US-AZ,2020-AZSCA-002341,6870.1,4529
-113.719211636,36.873635457,2020-08-29 00:45:00+00:00,2020-08-29 21:14:59+00:00,198.0,350.0,Natural,2020-08-24 01:44:00+00:00,WF,FI,36.79892,-113.7339,{26E58A57-6C87-452F-82BA-9948A38D1A89},000738,Mohave,UTCDC,04015,US-AZ,2020-AZASD-000738,548.0,4532
-116.566911884,33.8628249280001,2020-07-27 19:40:00+00:00,2020-07-30 18:59:59+00:00,211.7,0.5,Human,2020-07-25 13:38:00+00:00,WF,FI,33.85427,-116.5748,{56809FD1-32D9-4815-9354-112656E1EA74},011033,Riverside,CARRCC,06065,US-CA,2020-CACDD-011033,212.2,4533
-112.588411137,33.6941151230001,2020-05-28 00:59:59+00:00,2020-05-28 00:59:59+00:00,15.0,0.1,Human,2020-05-26 05:39:00+00:00,WF,FI,33.69141,-112.5838,{8D25D22B-19BE-45F1-865C-87A9BE0177D2},000590,Maricopa,AZPDC,04013,US-AZ,2020-AZA4S-000590,15.1,4538
-114.994478937,37.4666984400001,2020-07-14 23:29:59+00:00,2020-07-20 00:59:59+00:00,25110.0,900.0,Human,2020-06-26 04:18:00+00:00,WF,FI,37.466693,-114.994467,{9AF214A9-EC20-44CD-B0B6-4BBBC4954435},040057,Lincoln,NVECC,32017,US-NV,2020-NVELD-040057,26010.0,4541
-108.17864673,39.358629621,2020-09-05 02:00:00+00:00,2020-09-05 18:55:00+00:00,3.1,1.0,Human,2020-09-04 18:49:59+00:00,WF,FI,39.34665,-108.1643,{F5880ECA-18EE-4501-AEBD-B3FCAD609075},000429,Mesa,COGJC,08077,US-CO,2020-COMEX-000429,4.1,4561
-111.392110889,33.513335162,2020-08-13 22:30:00+00:00,2020-08-13 22:30:00+00:00,73.0,0.1,Natural,2020-07-23 02:35:35+00:00,WF,FI,33.51774,-111.4142,{0598AB56-FD1E-4285-B571-A7134565C8CC},002208,Maricopa,AZPHC,04013,US-AZ,2020-AZTNF-002208,73.1,4580
-114.986678885,36.9853383860001,2020-06-25 15:59:59+00:00,2020-06-25 18:14:59+00:00,5.0,5.0,Human,2020-06-24 08:00:00+00:00,WF,FI,36.985333,-114.986667,{4D2BEDA2-83E4-49DD-B9EF-F490C6842C32},040049,Lincoln,NVLIC,32017,US-NV,2020-NVELD-040049,10.0,4586
-110.440810683,33.3016051810001,2020-09-07 00:59:59+00:00,2020-09-07 00:59:59+00:00,15.0,0.1,Human,2020-07-03 19:28:00+00:00,WF,FI,33.29274,-110.444,{DF8CB92A-6A88-4CD9-ADF1-7DA7CCA4FD58},001828,Graham,AZPHC,04009,US-AZ,2020-AZSCA-001828,15.1,4609
-113.995911681,36.803025431,2020-05-22 22:25:00+00:00,2020-05-23 18:00:00+00:00,3.0,1.0,Human,2020-05-22 17:57:00+00:00,WF,FI,36.88721,-113.9286,{BB58F863-A3BE-4DC4-863C-05756DD6FEE8},000137,Mohave,UTCDC,04015,US-AZ,2020-AZASD-000137,4.0,4614
-111.91651168,40.3015559840001,2020-06-15 00:59:59+00:00,2020-06-15 00:59:59+00:00,30.0,0.1,Human,2020-06-13 16:41:59+00:00,WF,FI,40.35086,-111.9521,{14BABADB-CFF3-4BE7-A625-C387625FE1E8},000271,Utah,UTNUC,49049,US-UT,2020-UTNWS-000271,30.1,4619
-112.682536838,33.9238511770001,2020-06-05 19:30:00+00:00,2020-06-05 19:30:00+00:00,20.0,10.0,Human,2020-06-02 22:47:59+00:00,WF,FI,33.93291,-112.6907,{094EEF1E-6485-41F0-B739-4303CB541BC5},000709,Maricopa,AZPDC,04013,US-AZ,2020-AZA4S-000709,30.0,4632
-112.566611458,37.306545585,2020-07-05 00:00:00+00:00,2020-07-10 23:29:59+00:00,1.25,1.0,Human,2020-07-04 20:35:00+00:00,WF,FI,37.2954,-112.5587,{5E206A2B-E1AD-4C77-9C9A-33A477499BB5},000366,Kane,UTCDC,49025,US-UT,2020-UTSWS-000366,2.25,4642
-112.522411556,38.286335706,2020-10-17 01:12:59+00:00,2020-10-22 17:29:59+00:00,3.4,1.0,Human,2020-10-15 19:25:00+00:00,WF,FI,38.27656,-112.5549,{D4C82107-2936-4518-94CA-E4427CF113AB},200668,Beaver,UTRFC,49001,US-UT,2020-UTFIF-200668,4.4,4646
-110.451810685,33.2996051800001,2020-05-20 18:00:00+00:00,2020-05-20 18:00:00+00:00,35.39,0.1,Human,2020-05-16 06:14:00+00:00,WF,FI,33.3071,-110.45,{ADAE7C7C-4C6E-4A3D-9278-25E115C2242E},000861,Gila,AZPHC,04007,US-AZ,2020-AZSCA-000861,35.49,4653
-111.053311532,40.5162560740001,2020-10-12 00:00:00+00:00,2020-10-16 21:08:59+00:00,15.9,0.1,Human,2020-10-05 18:01:59+00:00,WF,FI,40.492,-111.0339,{FF28049C-007B-4118-BF41-AEB67DFA9644},001038,Wasatch,UTNUC,49051,US-UT,2020-UTUWF-001038,16.0,4666
-112.099011234,35.9734354490001,2020-08-08 01:44:59+00:00,2020-08-19 00:59:59+00:00,97.0,1.0,Natural,2020-08-03 15:49:59+00:00,WF,FI,35.97343,-112.099,{97343870-2AAD-4DAE-8BF5-4B123CC8A534},000682,Coconino,AZWDC,04005,US-AZ,2020-AZKNF-000682,98.0,4667
-119.641112902,38.7897652390001,2020-08-27 00:59:59+00:00,2020-08-28 18:20:00+00:00,46.0,0.1,Natural,2020-08-25 00:10:00+00:00,WF,FI,38.73299,-119.6488,{A1108B2B-478D-4DF1-810D-D4DA54CFC098},030660,Douglas,NVSFC,32005,US-NV,2020-NVCCD-030660,46.1,4674
