ID,sum_rain,sum_snow
901,42.19,1.32
910,137.1,1.98
911,79.1,2.64
922,174.02,3.96
937,137.1,1.98
938,31.64,0.0
947,68.55,0.0
949,10.54,0.0
957,42.18,0.0
963,0.0,0.0
967,0.0,0.0
971,26.36,1.32
973,42.18,0.0
974,142.38,3.3
979,110.73999999999998,1.32
982,94.91999999999999,3.96
986,47.46,1.32
995,31.64,0.0
999,15.82,0.66
1015,549.0600000000001,9.33
1019,63.27999999999999,0.66
1025,58.0,2.64
1031,68.53999999999999,1.32
1033,36.91,0.66
1039,168.75,4.62
1049,147.65,3.96
1053,10.54,0.0
1057,42.19,0.0
1061,26.36,0.66
1074,94.91999999999999,1.32
1086,137.1,0.66
1089,174.02,3.96
1096,121.28999999999999,1.32
1109,0.0,0.0
1122,31.64,0.0
1131,94.91,0.0
1137,94.91,2.64
1139,105.46,1.32
1141,52.72,3.3
1144,100.19999999999999,0.0
1148,94.91999999999999,3.96
1149,31.64,0.0
1158,10.55,0.0
1164,0.0,0.0
1166,42.18,0.0
1175,58.010000000000005,1.98
1184,42.18,0.0
1185,126.56,5.28
1196,0.0,0.0
1204,31.63,1.32
1205,163.48000000000002,2.64
1206,42.18,0.0
1208,131.83999999999997,1.32
1212,10.54,0.0
1217,110.73,0.66
1231,84.38,0.66
1237,94.92,1.32
1247,158.2,3.96
1257,31.64,0.0
1261,205.66,4.62
1265,15.82,1.32
1271,47.46,0.66
1277,89.63999999999999,0.66
1280,10.54,0.0
1290,94.91999999999999,1.32
1298,31.64,0.0
1307,63.269999999999996,0.0
1315,94.91999999999999,1.32
1317,21.09,0.0
1320,105.47,0.66
1327,94.91999999999999,3.96
1331,26.37,0.0
1351,31.64,0.0
1357,671.26,13.450000000000001
1360,47.459999999999994,0.0
1363,10.54,0.0
1377,105.46999999999998,2.64
1381,116.00999999999999,1.98
1389,31.64,0.0
1391,110.72999999999999,1.98
1394,142.38,4.62
1404,36.91,0.0
1405,58.010000000000005,0.0
1410,84.38,1.32
1414,152.93,2.64
1420,94.92,1.32
1429,52.73,0.0
1434,42.18,0.0
1435,42.18,0.0
1437,21.09,0.0
1445,232.01999999999998,1.98
1451,63.290000000000006,0.66
1456,89.63999999999999,1.32
1457,147.66,1.98
1468,147.66,1.98
1472,52.72,0.0
1473,42.18,0.0
1478,21.09,0.66
1488,84.37,0.0
1491,31.64,0.0
1496,31.64,0.0
1504,213.11,0.03
1508,79.1,2.64
1510,142.38,3.3
1516,10.54,0.0
1518,0.0,0.0
1527,152.93,2.64
1529,63.28,0.0
1548,105.46999999999998,2.64
1551,15.82,0.0
1552,94.91,0.0
1566,26.37,0.0
1575,110.72999999999999,1.98
1584,84.37,1.98
1589,94.91999999999999,0.66
1594,21.09,0.0
1596,186.11000000000004,0.0
1604,73.82,0.66
1605,131.82999999999998,1.98
1613,147.65,1.32
1620,47.459999999999994,0.0
1631,195.12,1.98
1636,52.72999999999999,0.66
1655,131.82999999999998,3.3000000000000003
1670,21.08,1.98
1672,358.6,0.66
1674,5.27,0.0
1677,84.36999999999999,1.32
1682,321.34000000000003,0.0
1686,42.18,0.0
1692,100.2,0.66
