DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
0.1,0.2,31.55,40.78,9.09,0.75,1.67,5.0,2.41,7.11,0.24,0.47,460
0.1,0.2,9.08,17.65,4.27,0.0,1.95,4.06,3.09,5.73,0.23,0.37,302
20.0,3162.33,17.19,28.06,2.32,0.0,2.0,3.62,3.1,4.72,0.23,0.34,497
1.0,99.0,31.79,38.24,7.63,0.54,3.07,6.12,4.55,8.43,0.3,0.48,460
0.5,1.0,-2.67,6.69,2.08,0.0,1.48,2.7,3.02,4.42,0.41,0.42,556
1.0,928.0,18.55,25.82,5.8,0.1,1.91,3.5,3.27,5.63,0.37,0.41,316
1.0,2.6100000000000003,18.09,25.65,8.48,1.23,2.24,3.41,3.34,4.6,0.35,0.36,317
0.1,0.2,21.4,30.19,3.3,0.03,4.45,7.27,6.34,9.66,0.18,0.41,158
0.1,0.85,26.64,35.83,5.74,0.0,1.02,1.78,1.57,2.52,0.16,0.4,186
0.1,0.2,12.84,19.97,3.36,0.0,4.25,7.08,6.78,10.62,0.3,0.36,49
0.1,0.2,18.37,27.93,7.39,4.61,3.05,6.98,4.49,9.55,0.39,0.41,187
0.1,0.2,0.42,5.76,2.32,0.0,1.26,2.44,1.73,3.16,0.41,0.41,187
0.1,0.65,14.71,21.86,2.62,0.0,3.98,6.09,5.42,8.07,0.25,0.43,575
5.0,22.0,17.63,27.24,4.39,0.0,3.07,5.47,5.05,8.15,0.39,0.46,187
1.0,481.0,29.08,37.46,2.93,0.0,2.22,3.83,3.18,4.65,0.09,0.37,472
1.0,1.1,23.51,31.34,4.21,0.0,1.38,2.79,1.99,3.48,0.16,0.34,470
0.1,0.2,12.81,21.4,5.98,0.33,0.41,1.0,1.83,2.27,0.41,0.42,149
0.1,0.2,13.62,23.25,3.05,0.02,1.8,3.3,2.85,4.36,0.46,0.48,444
5.0,13.0,31.89,38.31,8.79,0.15,3.12,5.88,4.51,8.19,0.2,0.47,460
0.1,0.2,13.52,20.64,2.93,0.0,3.57,5.55,5.17,7.56,0.32,0.41,187
0.1,0.2,19.69,30.36,1.95,0.0,1.41,2.91,2.16,3.82,0.14,0.37,489
0.1,0.2,18.09,27.71,4.09,0.04,1.03,1.51,1.75,2.48,0.35,0.4,149
0.1,0.2,3.48,8.51,3.72,0.85,2.39,4.34,3.63,5.62,0.48,0.49,582
2.0,4.0,12.11,21.63,1.46,0.0,2.48,4.7,3.67,6.08,0.12,0.33,556
0.1,0.2,28.55,35.9,9.52,0.13,1.86,4.28,2.63,5.61,0.16,0.47,460
0.1,0.2,24.44,33.65,7.26,0.02,1.37,4.14,2.34,6.86,0.38,0.41,491
0.1,20.1,2.84,10.33,2.69,0.0,1.16,1.73,2.22,2.91,0.4,0.39,187
0.1,0.2,18.76,26.72,10.31,2.03,1.38,2.38,2.33,3.7,0.39,0.38,158
0.1,1.6,21.48,31.69,8.85,0.32,1.04,2.08,2.58,5.2,0.39,0.45,182
0.1,0.2,25.08,33.39,2.87,0.0,1.88,4.55,2.77,6.11,0.13,0.46,460
1.0,1.5,22.53,31.15,4.76,0.0,3.15,5.28,4.56,6.8,0.12,0.36,490
0.1,0.2,17.05,22.65,10.01,0.64,1.12,1.98,1.94,3.34,0.31,0.34,189
0.3,0.55,14.75,23.82,6.29,0.89,3.62,6.77,5.05,9.37,0.41,0.45,489
8.0,16.0,14.48,23.22,3.78,0.0,2.87,4.42,4.95,7.27,0.39,0.46,158
2.0,4.0,23.81,31.0,7.45,2.49,3.34,5.62,4.88,7.33,0.26,0.34,187
0.1,0.2,20.82,28.93,6.84,0.01,1.05,1.95,1.7,2.84,0.11,0.46,300
0.3,0.8,22.91,29.39,10.01,4.45,2.32,3.75,3.42,5.09,0.27,0.35,489
0.8,1.55,24.13,33.46,8.3,0.09,2.95,5.63,4.11,7.84,0.34,0.48,489
1.0,99.0,19.19,28.73,3.42,0.2,3.4,5.23,5.07,7.03,0.09,0.36,183
0.1,0.2,24.29,32.86,10.5,0.44,1.38,2.93,2.46,4.66,0.47,0.51,158
0.1,22.1,34.91,42.47,6.9,0.0,4.03,8.95,5.55,11.73,0.07,0.37,556
0.1,0.2,23.39,33.3,9.46,1.25,0.7,1.16,1.55,3.02,0.44,0.5,158
0.1,0.2,23.58,32.19,5.0,0.0,1.02,1.63,2.31,3.44,0.24,0.4,151
1.0,4.7,31.05,39.06,10.68,0.7,2.17,4.32,3.19,5.67,0.27,0.47,460
0.1,2.1,24.0,34.1,6.35,5.2,4.59,8.27,6.45,11.88,0.24,0.42,187
0.1,46.76,14.76,22.34,4.76,0.33,2.6,4.7,4.71,7.9,0.38,0.41,187
0.1,0.2,27.34,36.51,4.76,0.0,1.63,2.91,2.58,4.01,0.33,0.4,282
0.1,0.213,14.18,22.3,1.95,0.0,1.28,2.02,2.05,3.56,0.07,0.42,583
0.1,0.2,22.48,30.25,3.72,0.0,2.02,4.13,2.88,5.27,0.3,0.45,474
0.1,0.6,20.67,28.08,6.1,0.47,1.74,3.27,3.08,5.34,0.31,0.37,148
1.0,575.0,25.7,34.35,6.04,0.13,1.84,3.93,2.63,5.06,0.25,0.35,457
0.1,50.1,22.23,30.49,6.23,0.06,2.38,3.7,3.71,5.55,0.23,0.34,49
0.1,0.96,23.99,32.26,5.43,0.0,2.95,5.79,4.31,7.91,0.4,0.48,460
1.0,1.1,20.5,28.35,3.23,0.0,3.38,5.79,5.05,7.87,0.18,0.3,49
0.1,0.2,36.52,45.58,2.87,0.0,4.04,6.5,5.62,8.15,0.08,0.38,472
10.0,2810.0,22.22,31.49,3.91,0.0,0.52,1.03,1.78,2.32,0.29,0.46,557
