ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,FireOutDateTime,IncidentTypeKind,InitialLatitude,InitialLongitude,POOState,id
2020/07/23 17:06:59+00,2020/07/23 17:06:59+00,0.1,0.1,Human,2020-07-18 17:07:59+00:00,2020/07/23 17:06:59+00,FI,37.61495,-108.6349,US-CO,1335
2020/09/29 00:00:00+00,2020/09/29 00:14:59+00,0.1,0.1,Human,2020-09-28 23:03:00+00:00,2020/09/29 18:59:59+00,FI,37.98745,-109.3541,US-UT,1336
2020/09/06 21:30:00+00,2020/09/06 21:45:00+00,0.1,0.1,Human,2020-09-06 21:00:00+00:00,2020/09/07 00:00:00+00,FI,39.42041,-111.3725,US-UT,1337
2020/07/26 17:29:59+00,2020/07/26 17:29:59+00,0.1,0.1,Human,2020-07-26 14:58:59+00:00,2020/07/26 20:15:00+00,FI,36.14852,-114.9361,US-NV,1338
2021/03/09 00:00:00+00,2021/03/09 01:15:00+00,1.5,1.0,Human,2021-03-08 23:29:59+00:00,2021/03/12 18:59:59+00,FI,39.39664,-112.7171,US-UT,1339
2020/07/23 19:30:00+00,2020/07/23 19:30:00+00,0.1,0.1,Natural,2020-07-23 00:20:59+00:00,2020/07/28 00:59:59+00,FI,39.846167,-114.885667,US-NV,1340
2020/07/13 19:44:59+00,2020/07/13 21:59:59+00,0.1,0.1,Natural,2020-07-13 02:57:00+00:00,2020/07/15 00:30:00+00,FI,39.16553,-111.7564,US-UT,1341
2020/03/16 21:59:59+00,2020/04/16 19:44:59+00,4.0,0.1,Human,2020-03-16 02:06:59+00:00,2020/04/30 21:59:59+00,FI,32.5792,-111.6727,US-AZ,1342
2020/06/28 16:34:00+00,2020/06/29 00:27:59+00,0.1,0.1,Human,2020-06-28 15:07:00+00:00,2020/06/29 00:30:00+00,FI,33.21876,-105.7431,US-NM,1343
2020/08/02 22:02:59+00,2020/08/02 22:02:59+00,0.1,0.1,Human,2020-08-02 16:25:45+00:00,2020/08/02 22:36:00+00,FI,38.928083,-120.12625,US-CA,1344
2020/01/13 03:00:00+00,2020/01/13 03:00:00+00,2.0,2.0,Human,2020-01-13 00:30:00+00:00,2020/01/13 16:38:59+00,FI,38.88633,-112.4463,US-UT,1345
2020/07/30 23:00:00+00,2020/08/01 19:57:00+00,2.0,1.0,Natural,2020-07-29 22:56:00+00:00,2020/08/09 14:18:00+00,FI,37.08065,-107.0735,US-CO,1346
2020/07/07 21:17:59+00,2020/07/07 21:17:59+00,1.34,1.0,Human,2020-07-07 01:21:59+00:00,2020/07/11 00:00:00+00,FI,32.24579,-109.8577,US-AZ,1347
2020/07/02 14:00:00+00,2020/07/02 14:00:00+00,0.3,0.3,Human,2020-06-26 15:52:00+00:00,2020/07/02 14:00:00+00,FI,37.18473,-108.7295,US-CO,1348
2020/07/28 00:00:00+00,2020/07/28 00:00:00+00,0.1,0.1,Natural,2020-07-27 23:45:59+00:00,2020/08/03 00:59:59+00,FI,39.166667,-115.033333,US-NV,1349
2020/07/06 02:19:59+00,2020/07/07 00:00:00+00,68.0,25.0,Human,2020-07-05 21:49:00+00:00,2020/07/11 00:00:00+00,FI,36.97929,-112.5292,US-AZ,1350
2020/08/28 19:20:00+00,2020/08/28 19:43:00+00,0.1,1.0,Human,2020-08-28 18:29:00+00:00,2020/08/31 17:29:59+00,FI,41.14891,-122.3326,US-CA,1351
2020/05/27 17:35:00+00,2020/05/27 17:35:00+00,0.1,0.1,Human,2020-05-27 16:18:59+00:00,2020/05/27 17:35:00+00,FI,36.08643,-115.009,US-NV,1352
2020/11/04 18:59:59+00,2020/11/04 18:59:59+00,1.8,1.8,Human,2020-11-03 21:49:00+00:00,2020/11/06 19:46:00+00,FI,33.80715,-111.8984,US-AZ,1353
2020/09/08 04:43:00+00,2020/09/08 05:10:00+00,0.5,0.5,Human,2020-09-08 04:34:00+00:00,2020/09/08 05:25:00+00,FI,40.426111,-110.021111,US-UT,1354
2020/07/28 18:20:00+00,2020/07/28 18:45:00+00,0.1,0.1,Natural,2020-07-28 17:07:59+00:00,2020/07/28 18:59:59+00,FI,37.42405,-109.4482,US-UT,1355
2020/08/06 01:09:00+00,2020/08/08 14:51:00+00,3.57,0.5,Natural,2020-08-05 01:31:53+00:00,2020/08/08 22:15:59+00,FI,37.86437,-109.7627,US-UT,1356
2020/05/17 01:44:59+00,2020/05/17 01:44:59+00,0.1,0.1,Human,2020-05-16 20:29:59+00:00,2020/05/17 01:44:59+00,FI,37.32965,-108.1198,US-CO,1357
2020/04/08 17:45:00+00,2020/04/08 18:00:00+00,0.1,0.1,Human,2020-04-08 16:36:00+00:00,2020/04/08 18:00:00+00,FI,35.3382,-106.5405,US-NM,1358
2020/07/06 22:30:49+00,2020/07/06 22:30:49+00,8.7,0.5,Human,2020-07-06 19:35:10+00:00,2020/07/18 18:59:59+00,FI,,,US-NM,1359
2020/07/20 18:14:00+00,2020/07/25 19:22:59+00,0.1,0.1,Natural,2020-07-19 18:43:19+00:00,2020/09/11 14:00:00+00,FI,37.39762,-107.9893,US-CO,1360
2020/05/11 20:45:00+00,2020/05/15 17:15:00+00,0.1,0.1,Natural,2020-05-10 21:36:06+00:00,2020/05/15 17:15:00+00,FI,35.84451,-112.0241,US-AZ,1361
2020/11/09 00:59:59+00,2020/11/09 00:59:59+00,0.5,1.0,Human,2020-11-07 08:29:59+00:00,2020/11/09 00:59:59+00,FI,34.99906,-114.6296,US-AZ,1362
2020/09/11 23:00:00+00,2020/09/12 19:30:00+00,13.9,1.0,Human,2020-09-11 19:28:00+00:00,2020/09/22 23:29:59+00,FI,40.71935,-112.6609,US-UT,1363
2020/06/28 06:04:00+00,2020/06/28 21:58:00+00,16.69,3.0,Natural,2020-06-28 00:33:00+00:00,2020/07/02 00:59:59+00,FI,40.9181,-116.9079,US-NV,1364
2020/04/09 23:15:00+00,2020/04/09 23:15:00+00,1.5,1.5,Human,2020-04-09 22:50:00+00:00,2020/04/10 21:59:59+00,FI,41.22726,-112.0414,US-UT,1365
2020/05/29 01:44:59+00,2020/05/30 00:59:59+00,14.0,5.0,Human,2020-05-28 00:27:00+00:00,2020/06/04 00:00:00+00,FI,36.96795,-113.7569,US-AZ,1366
2021/02/26 23:13:00+00,2021/02/27 00:03:00+00,1.0,1.0,Unknown,2021-02-26 21:32:00+00:00,2021/03/01 17:00:00+00,FI,39.94727,-120.9372,US-CA,1367
2020/07/16 16:31:59+00,2020/07/16 16:31:59+00,0.1,0.1,Human,2020-07-16 14:25:00+00:00,2020/07/16 21:51:00+00,FI,35.37404,-108.4675,US-NM,1368
