sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
84.36999999999999,0.66,1.0,3.0,14.57,23.8,2.87,0.0,0.84,1.31,2.3,3.13,0.12,0.46,42
137.1,0.66,80.0,503.0,9.83,21.11,3.48,0.0,1.95,3.48,3.27,4.7,0.32,0.38,490
221.48,5.94,5.0,22.0,18.48,26.64,9.09,1.42,1.66,3.17,3.19,5.9,0.39,0.41,149
105.46999999999998,0.0,200.0,549.0,32.94,42.02,9.28,0.21,1.88,6.48,2.7,9.13,0.21,0.45,460
58.00999999999999,0.0,1.0,138.0,34.62,42.66,9.58,0.09,1.66,3.91,2.48,5.02,0.22,0.38,472
168.74,0.66,0.1,1977.1,25.45,34.49,6.53,2.36,3.12,5.69,4.7,7.91,0.36,0.39,556
395.5,4.62,0.1,3.1,25.47,35.2,7.08,0.05,0.2,0.66,1.4,2.75,0.34,0.47,162
290.04,0.0,3.0,6.0,23.91,32.99,7.26,0.0,2.51,4.12,3.88,5.87,0.51,0.54,460
47.45,2.64,30.0,60.0,27.98,36.18,6.35,0.05,1.91,3.8,2.85,5.59,0.09,0.33,183
168.75,0.0,3.0,59.0,28.0,34.69,6.71,0.0,2.3,4.18,3.89,6.39,0.23,0.42,358
152.92000000000002,9.24,0.1,2905.1,14.76,22.34,4.76,0.33,2.6,4.7,4.71,7.9,0.38,0.41,316
31.64,0.66,0.1,1100.4299999999998,24.12,30.83,8.48,0.12,1.72,2.97,2.36,4.42,0.14,0.33,489
210.93,0.0,50.0,949.0,30.55,39.44,3.78,0.0,2.43,5.06,3.65,6.66,0.23,0.43,474
200.38,0.0,8.0,17.5,33.55,43.3,3.78,0.0,2.55,5.0,3.63,6.43,0.13,0.38,556
174.01000000000002,1.32,0.1,8930.1,27.23,36.01,10.68,0.93,1.17,2.49,2.27,4.91,0.38,0.48,460
174.03000000000003,1.32,0.1,4452.1,25.73,35.22,9.28,0.43,0.37,0.81,1.72,2.95,0.41,0.48,158
79.09,0.68,5.0,93.0,7.55,20.31,1.16,0.0,1.81,2.77,3.23,3.92,0.26,0.47,460
232.03,0.0,0.1,21.9,20.35,27.03,6.84,0.02,3.66,5.89,5.48,8.07,0.43,0.52,47
