PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,185
PRECSNO,2019,1.98,2.64,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,186
PRECSNO,2020,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,186
PRECTOTCORR_SUM,2019,36.91,73.83,73.83,21.09,58.01,10.55,0.0,10.55,21.09,5.27,42.19,36.91,390.23,186
PRECTOTCORR_SUM,2020,10.55,10.55,21.09,0.0,5.27,5.27,47.46,0.0,21.09,5.27,21.09,10.55,158.2,186
PRECSNO,2019,1.98,3.96,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.98,0.66,192
PRECSNO,2020,0.66,0.0,2.64,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,192
PRECTOTCORR_SUM,2019,137.11,221.48,84.38,21.09,58.01,0.0,10.55,0.0,31.64,0.0,21.09,105.47,690.82,192
PRECTOTCORR_SUM,2020,21.09,0.0,73.83,31.64,21.09,0.0,0.0,0.0,0.0,0.0,63.28,31.64,242.58,192
PRECSNO,2020,2.64,0.66,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.66,195
PRECTOTCORR_SUM,2020,73.83,5.27,58.01,15.82,63.28,15.82,5.27,0.0,0.0,10.55,58.01,21.09,326.95,195
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,196
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
PRECTOTCORR_SUM,2020,26.37,0.0,89.65,42.19,0.0,0.0,0.0,0.0,0.0,0.0,10.55,26.37,195.12,202
PRECSNO,2020,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,203
PRECTOTCORR_SUM,2020,0.0,10.55,47.46,10.55,0.0,0.0,10.55,0.0,0.0,0.0,5.27,0.0,84.38,203
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
PRECTOTCORR_SUM,2020,0.0,36.91,73.83,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,5.27,126.56,207
PRECSNO,2019,1.32,1.98,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,211
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,0.0,211
PRECTOTCORR_SUM,2019,31.64,36.91,42.19,21.09,52.73,26.37,0.0,0.0,10.55,0.0,26.37,21.09,268.95,211
PRECTOTCORR_SUM,2020,10.55,5.27,31.64,5.27,0.0,26.37,5.27,0.0,15.82,10.55,15.82,26.37,152.93,211
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213
PRECTOTCORR_SUM,2019,26.37,52.73,10.55,0.0,0.0,0.0,5.27,5.27,36.91,0.0,63.28,31.64,232.03,213
PRECTOTCORR_SUM,2020,0.0,36.91,68.55,0.0,0.0,0.0,0.0,15.82,0.0,0.0,0.0,10.55,131.84,213
PRECSNO,2019,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
PRECTOTCORR_SUM,2019,36.91,116.02,26.37,0.0,5.27,0.0,21.09,5.27,42.19,0.0,89.65,58.01,400.78,215
PRECTOTCORR_SUM,2020,5.27,47.46,68.55,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.27,10.55,142.38,215
PRECSNO,2020,1.98,0.0,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.32,0.66,233
PRECTOTCORR_SUM,2020,110.74,0.0,52.73,21.09,84.38,10.55,0.0,5.27,0.0,5.27,63.28,52.73,406.05,233
PRECSNO,2020,2.64,0.66,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.66,246
PRECTOTCORR_SUM,2020,73.83,5.27,58.01,15.82,63.28,15.82,5.27,0.0,0.0,10.55,58.01,21.09,326.95,246
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248
PRECTOTCORR_SUM,2020,5.27,26.37,79.1,21.09,5.27,0.0,21.09,5.27,0.0,0.0,21.09,5.27,189.84,248
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,254
PRECTOTCORR_SUM,2020,10.55,21.09,10.55,5.27,15.82,42.19,5.27,0.0,5.27,5.27,5.27,10.55,137.11,254
PRECSNO,2020,1.98,1.98,1.98,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.98,0.66,260
PRECTOTCORR_SUM,2020,26.37,5.27,58.01,10.55,10.55,10.55,36.91,5.27,26.37,10.55,36.91,31.64,268.95,260
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,269
PRECSNO,2019,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,270
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270
PRECTOTCORR_SUM,2019,36.91,116.02,47.46,5.27,42.19,0.0,15.82,0.0,21.09,0.0,110.74,63.28,458.79,270
PRECTOTCORR_SUM,2020,5.27,26.37,79.1,21.09,5.27,0.0,21.09,5.27,0.0,0.0,21.09,5.27,189.84,270
PRECSNO,2019,0.66,3.3,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.66,0.66,271
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271
PRECTOTCORR_SUM,2019,52.73,158.2,52.73,5.27,42.19,0.0,21.09,15.82,26.37,0.0,131.84,79.1,585.35,271
PRECTOTCORR_SUM,2020,5.27,31.64,116.02,26.37,5.27,0.0,21.09,21.09,0.0,0.0,15.82,5.27,247.85,271
PRECSNO,2020,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,273
PRECTOTCORR_SUM,2020,10.55,0.0,47.46,15.82,10.55,5.27,0.0,0.0,0.0,0.0,36.91,26.37,152.93,273
PRECSNO,2019,1.98,1.32,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.66,280
PRECSNO,2020,1.32,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,0.66,280
PRECTOTCORR_SUM,2019,15.82,26.37,36.91,21.09,26.37,15.82,21.09,10.55,15.82,5.27,31.64,21.09,247.85,280
PRECTOTCORR_SUM,2020,10.55,10.55,10.55,0.0,5.27,5.27,42.19,5.27,26.37,10.55,5.27,21.09,152.93,280
PRECSNO,2020,1.32,1.98,1.32,1.32,0.0,0.66,0.0,0.0,0.0,0.0,1.32,0.66,0.66,286
PRECTOTCORR_SUM,2020,47.46,42.19,42.19,21.09,21.09,10.55,5.27,5.27,26.37,21.09,42.19,36.91,321.68,286
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297
PRECTOTCORR_SUM,2020,42.19,0.0,47.46,15.82,42.19,0.0,0.0,0.0,0.0,0.0,21.09,63.28,232.03,297
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
PRECTOTCORR_SUM,2019,26.37,126.56,36.91,5.27,10.55,0.0,21.09,15.82,42.19,0.0,105.47,58.01,448.24,298
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,298
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301
PRECTOTCORR_SUM,2020,0.0,21.09,73.83,5.27,0.0,0.0,10.55,0.0,0.0,0.0,0.0,0.0,110.74,301
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,306
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306
PRECTOTCORR_SUM,2019,36.91,73.83,47.46,15.82,58.01,5.27,10.55,0.0,0.0,0.0,73.83,36.91,358.59,306
PRECTOTCORR_SUM,2020,0.0,15.82,58.01,15.82,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,100.2,306
PRECSNO,2019,1.32,2.64,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,319
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319
PRECTOTCORR_SUM,2019,26.37,63.28,47.46,5.27,10.55,5.27,47.46,36.91,52.73,0.0,100.2,31.64,427.15,319
PRECTOTCORR_SUM,2020,31.64,42.19,47.46,0.0,0.0,0.0,42.19,10.55,5.27,10.55,21.09,10.55,221.48,319
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.0,0.66,0.66,326
PRECTOTCORR_SUM,2020,21.09,10.55,21.09,5.27,5.27,5.27,42.19,5.27,31.64,10.55,10.55,21.09,189.84,326
PRECSNO,2019,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,329
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329
PRECTOTCORR_SUM,2019,42.19,137.11,31.64,5.27,21.09,0.0,15.82,15.82,47.46,0.0,116.02,73.83,506.25,329
PRECTOTCORR_SUM,2020,5.27,36.91,100.2,15.82,0.0,0.0,10.55,10.55,0.0,0.0,5.27,5.27,189.84,329
PRECSNO,2020,0.66,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,335
PRECTOTCORR_SUM,2020,36.91,0.0,73.83,21.09,26.37,5.27,0.0,5.27,0.0,0.0,31.64,47.46,247.85,335
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342
PRECTOTCORR_SUM,2019,26.37,63.28,21.09,0.0,10.55,0.0,42.19,47.46,68.55,0.0,84.38,36.91,400.78,342
PRECTOTCORR_SUM,2020,15.82,26.37,31.64,0.0,0.0,0.0,26.37,21.09,0.0,0.0,0.0,10.55,131.84,342
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390
PRECTOTCORR_SUM,2020,5.27,52.73,84.38,5.27,0.0,0.0,10.55,10.55,5.27,5.27,5.27,10.55,195.12,390
PRECSNO,2019,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394
PRECTOTCORR_SUM,2019,36.91,116.02,26.37,0.0,5.27,0.0,21.09,5.27,42.19,0.0,89.65,58.01,400.78,394
PRECTOTCORR_SUM,2020,5.27,47.46,68.55,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.27,10.55,142.38,394
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
